News,label
Texas Pleads With Judge To Stop Obama Administration's Trans-Friendly Bathroom Policy,1
We Now Know The 4 Teams Battling For College Football's National Title,0
Former Trump Campaign Manager Doesn't Get Why Star Of David Tweet Was Anti-Semitic,1
Journalists Should Stop Highlighting Individual Polls And Focus On Polling Averages,1
Here Are The Best GIFs From The 2015 MTV VMAs,0
Buzz Aldrin Looked As Baffled As We Felt During Trump's Space Talk,1
The Year My Mom Gave Me Condoms For Christmas,0
Indiana Gov. Mike Pence Endorses Ted Cruz For President,1
"An Honest, Tear-Jerking Account Of Becoming A Father",0
Trumpcare Will Hurt American Workers,1
The Most Unusual Massages Around The World,0
Mitch McConnell: 'I Didn't Think President Trump Had A Chance Of Winning',1
Mark Udall Midterm Election Results: Incumbent Democrat Loses To Republican Cory Gardner,1
Don't Feed the Race Trolls,0
"Hay Fever Affects More Kids In The Southern U.S., Study Finds",0
Rand Paul Plans To Keep Pushing To Defund Planned Parenthood,1
Astonishing Video Captures The Unbreakable Bond Between Twins,0
"A Negotiated Curb On North Korea's Nuclear Capabilities Is Good, But Not Good Enough",1
Rep. Farenthold's Former Aide Describes Abusive Behavior In CNN Report,1
Charlie Crist's Success Depends On One Area Of Florida,1
